Scenario,Config,AgentName,Commitment,Rep,Score,NumTraps
3.3_dynamic_no_traps,all_together,agA,1,10,197,0
3.3_dynamic_no_traps,all_together,rnd,1,2,32,0
3.3_dynamic_no_traps,all_together,agB,1,2,211,0
3.3_dynamic_no_traps,all_together,agA,1,2,218,0
3.3_dynamic_no_traps,all_together,agA,1,3,208,0
3.3_dynamic_no_traps,all_together,agB,1,3,209,0
3.3_dynamic_no_traps,all_together,rnd,1,3,33,0
3.3_dynamic_no_traps,all_together,rnd,1,4,40,0
3.3_dynamic_no_traps,all_together,agA,1,4,235,0
3.3_dynamic_no_traps,all_together,agB,1,4,193,0
3.3_dynamic_no_traps,all_together,agB,1,5,189,0
3.3_dynamic_no_traps,all_together,rnd,1,5,47,0
3.3_dynamic_no_traps,all_together,agA,1,5,194,0
3.3_dynamic_no_traps,all_together,agB,1,6,205,0
3.3_dynamic_no_traps,all_together,rnd,1,6,40,0
3.3_dynamic_no_traps,all_together,agA,1,6,181,0
3.3_dynamic_no_traps,all_together,agB,1,7,212,0
3.3_dynamic_no_traps,all_together,rnd,1,7,35,0
3.3_dynamic_no_traps,all_together,agA,1,7,207,0
3.3_dynamic_no_traps,all_together,agB,1,8,218,0
3.3_dynamic_no_traps,all_together,rnd,1,8,36,0
3.3_dynamic_no_traps,all_together,agA,1,8,193,0
3.3_dynamic_no_traps,all_together,agA,1,9,216,0
3.3_dynamic_no_traps,all_together,rnd,1,9,36,0
3.3_dynamic_no_traps,all_together,agB,1,9,219,0
3.3_dynamic_no_traps,all_together,agA,20,1,28,0
3.3_dynamic_no_traps,all_together,agB,20,1,28,0
3.3_dynamic_no_traps,all_together,rnd,20,1,25,0
3.3_dynamic_no_traps,all_together,rnd,20,10,31,0
3.3_dynamic_no_traps,all_together,agB,20,10,36,0
3.3_dynamic_no_traps,all_together,agA,20,10,25,0
3.3_dynamic_no_traps,all_together,rnd,20,2,36,0
3.3_dynamic_no_traps,all_together,agB,20,2,40,0
3.3_dynamic_no_traps,all_together,agA,20,2,30,0
3.3_dynamic_no_traps,all_together,rnd,20,3,39,0
3.3_dynamic_no_traps,all_together,agB,20,3,34,0
3.3_dynamic_no_traps,all_together,agA,20,3,28,0
3.3_dynamic_no_traps,all_together,agB,20,4,35,0
3.3_dynamic_no_traps,all_together,rnd,20,4,36,0
3.3_dynamic_no_traps,all_together,agA,20,4,40,0
3.3_dynamic_no_traps,all_together,rnd,20,5,39,0
3.3_dynamic_no_traps,all_together,agB,20,5,29,0
3.3_dynamic_no_traps,all_together,agA,20,5,23,0
3.3_dynamic_no_traps,all_together,agB,20,6,35,0
3.3_dynamic_no_traps,all_together,agA,20,6,27,0
3.3_dynamic_no_traps,all_together,rnd,20,6,25,0
3.3_dynamic_no_traps,all_together,agB,20,7,33,0
3.3_dynamic_no_traps,all_together,agA,20,7,25,0
3.3_dynamic_no_traps,all_together,rnd,20,7,35,0
3.3_dynamic_no_traps,all_together,agA,20,8,27,0
3.3_dynamic_no_traps,all_together,rnd,20,8,39,0
3.3_dynamic_no_traps,all_together,agB,20,8,30,0
